Rank,Name,Global_Sales
1,Wii Sports,82.74
2,Super Mario Bros.,40.24
3,Mario Kart Wii,35.82
4,Wii Sports Resort,33
5,Pokemon Red/Pokemon Blue,31.37
6,Tetris,30.26
7,New Super Mario Bros.,30.01
8,Wii Play,29.02
9,New Super Mario Bros. Wii,28.62
10,Duck Hunt,28.31
11,Nintendogs,24.76
12,Mario Kart DS,23.42
13,Pokemon Gold/Pokemon Silver,23.1
14,Wii Fit,22.72
15,Wii Fit Plus,22
16,Kinect Adventures!,21.82
17,Grand Theft Auto V,21.4
18,Grand Theft Auto: San Andreas,20.81
19,Super Mario World,20.61
20,Brain Age: Train Your Brain in Minutes a Day,20.22
